Season,WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
This Winter,94239,20161223,30, ,22, ,26, ,-1, ,25, ,26, ,39, ,0, ,746, ,1613, ,SN BR, ,M, ,M, ,M, ,0.09, ,28.37, ,29.71, ,2, ,30, ,2.9, ,10, ,280, ,9, ,280, 
This Winter,94239,20161224,30, ,15, ,23, ,-4, ,21, ,22, ,42, ,0, ,746, ,1614, ,FG+ FZFG BR, ,M, ,M, ,M, ,0, ,28.54, ,29.88, ,1.5, ,31, ,1.8, ,10, ,290, ,9, ,290, 
This Winter,94239,20161225,26, ,13, ,20, ,-7, ,17, ,18, ,45, ,0, ,747, ,1614, ,FG+ FZFG BR, ,M, ,M, ,M, ,0, ,28.8, ,30.16, ,0.7, ,33, ,1.2, ,7, ,280, ,6, ,360, 
This Winter,94239,20161226,22, ,10, ,16, ,-11, ,17, ,18, ,49, ,0, ,747, ,1615, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,0.01, ,28.92, ,30.3, ,0.4, ,5, ,0.5, ,6, ,250, ,6, ,250, 
This Winter,94239,20161227,35, ,14, ,25, ,-2, ,21, ,23, ,40, ,0, ,747, ,1616, ,FZFG BR, ,M, ,M, ,M, ,0.03, ,28.67, ,30.03, ,4, ,29, ,5.6, ,34, ,330, ,25, ,330, 
This Winter,94239,20161228,41, ,26, ,34, ,7, ,25, ,31, ,31, ,0, ,748, ,1616, , , ,M, ,M, ,M, ,0, ,29.03, ,30.38, ,5.6, ,32, ,6.9, ,31, ,320, ,26, ,320, 
This Winter,94239,20161229,33, ,26, ,30, ,3, ,27, ,29, ,35, ,0, ,748, ,1617, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,  T, ,28.88, ,30.23, ,0.7, ,12, ,2.3, ,13, ,120, ,9, ,290, 
This Winter,94239,20161230,33, ,21, ,27, ,0, ,25, ,26, ,38, ,0, ,748, ,1618, ,FG+ FZFG BR, ,M, ,M, ,M, ,0, ,28.84, ,30.2, ,2.5, ,29, ,5.1, ,13, ,260, ,10, ,270, 
This Winter,94239,20161231,25, ,14, ,20, ,-6, ,18, ,19, ,45, ,0, ,748, ,1619, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,  T, ,28.59, ,29.96, ,1.9, ,8, ,2.3, ,10, ,70, ,9, ,80, 
This Winter,94239,20170101,28, ,19, ,24, ,-3, ,22, ,23, ,41, ,0, ,748, ,1620, ,SN BR, ,M, ,M, ,M, ,0.02, ,28.45, ,29.79, ,2.7, ,27, ,4.6, ,21, ,230, ,13, ,80, 
This Winter,94239,20170102,26, ,13, ,20, ,-7, ,9, ,19, ,45, ,0, ,748, ,1621, , , ,M, ,M, ,M, ,  T, ,28.79, ,30.14, ,6.9, ,3, ,9.7, ,26, ,30, ,20, ,30, 
This Winter,94239,20170103,18, ,6, ,12, ,-15, ,4, ,11, ,53, ,0, ,748, ,1622, , , ,M, ,M, ,M, ,0, ,29.05, ,30.44, ,3.5, ,29, ,4, ,12, ,280, ,12, ,280, 
This Winter,94239,20170104,17, ,2, ,10, ,-17, ,1, ,7, ,55, ,0, ,748, ,1623, , , ,M, ,M, ,M, ,0, ,29.05, ,30.46, ,6.1, ,30, ,6.4, ,19, ,300, ,18, ,300, 
This Winter,94239,20170105,14, ,-1, ,7, ,-20, ,3, ,7, ,58, ,0, ,748, ,1624, , , ,M, ,M, ,M, ,0, ,29, ,30.41, ,0.8, ,9, ,4.7, ,15, ,110, ,13, ,310, 
This Winter,94239,20170106,14, ,2, ,8, ,-19, ,4, ,8, ,57, ,0, ,747, ,1625, , , ,M, ,M, ,M, ,  T, ,28.9, ,30.3, ,3.5, ,29, ,4.2, ,12, ,290, ,10, ,290, 
This Winter,94239,20170107,15, ,0, ,8, ,-19, ,5, ,8, ,57, ,0, ,747, ,1626, ,SN BR, ,M, ,M, ,M, ,0.03, ,28.85, ,30.24, ,5.5, ,29, ,6.1, ,13, ,300, ,12, ,300, 
This Winter,94239,20170108,20, ,12, ,16, ,-11, ,16, ,17, ,49, ,0, ,747, ,1627, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,0.2, ,28.61, ,29.99, ,4, ,30, ,4.6, ,10, ,270, ,9, ,270, 
This Winter,94239,20170109,25, ,19, ,22, ,-5, ,20, ,21, ,43, ,0, ,747, ,1628, ,BR, ,M, ,M, ,M, ,  T, ,28.38, ,29.72, ,0.6, ,31, ,2.1, ,11, ,290, ,8, ,280, 
